"Checklist e resultados de teste: teste das janelas ""Método de pagamento"" e ""Adicionar cartão""",,,,
,,,,
№,Descrição da revisão,Status do ambiente Google Chrome 800x600,Status do ambiente Firefox 1920x1080,Link para o relatório de bug
1,"Clicar no campo ""Método de pagamento"" abre a janela ""Método de pagamento""",APROVADO,APROVADO,
2,"Clicar no botão ""Adicionar o cartão"" abre o formulário ""Adicionar o cartão""",APROVADO,APROVADO,
3,"Por padrão, os campos ""Número do cartão"" e ""Código"" estão vazios",APROVADO,APROVADO,
4,"Na janela de ""Adicionar o cartão"" aparecem os campos: Número do cartão e Código",APROVADO,APROVADO,
5,"Para reservar um carro, o usuário precisa inserir os detalhes de pelo menos um cartão e clicar no botão ""Adicionar""",REPROVADO,REPROVADO,https://dharayf.atlassian.net/browse/DFS3-16
6,Não há restrição sobre a quantidade de cartões que o usuário pode adicionar.,APROVADO,APROVADO,
7,"Quando um cartão é adicionado, a interface mostra os últimos 4 dígitos do seu número.",REPROVADO,REPROVADO,https://dharayf.atlassian.net/browse/DFS3-17
"Campo ""Número do cartão"" do método de pagamento",,,,
9,É possível inserir 123412341234 (números),APROVADO,APROVADO,
10,"É impossível inserir ""abcdabcdabcd"" (letras)",REPROVADO,REPROVADO,https://dharayf.atlassian.net/browse/DFS3-19
11,É impossível inserir !@#$!@#$!@#$ (caracteres especiais),REPROVADO,REPROVADO,https://dharayf.atlassian.net/browse/DFS3-21
12,É possível inserir 123412341234 (12 números),APROVADO,APROVADO,
13,É impossível inserir 12341234123 (11 números),REPROVADO,REPROVADO,https://dharayf.atlassian.net/browse/DFS3-20
14,É impossível inserir 1234123412341 (13 números),REPROVADO,REPROVADO,https://dharayf.atlassian.net/browse/DFS3-20
15,123412341234 é inserido e o método de pagamento é cadastrado,APROVADO,APROVADO,
16,!@#$!@#$!@#$ (12 caracteres especiais) é inserido e o método de pagamento não é cadastrado,REPROVADO,REPROVADO,https://dharayf.atlassian.net/browse/DFS3-21
17,Formato para nnnn: de 0000 a 9999 (incluindo esses números),REPROVADO,REPROVADO,https://dharayf.atlassian.net/browse/DFS3-21
